Student_ID,Name,Department,CGPA,Completed_Courses,Password
FA22-BSPsych-0032,Aarohi Joshi,Psychology,3.72,"PSY101,PSY102,STAT101,PSY201,PSY202",password123
FA21-BSCS-0033,Shivansh Mishra,Computer Science,3.29,"CS101,CS102,MATH101,CS201,CS202,CS205",password123
FA21-BSSE-0034,Zara Desai,Software Engineering,3.47,"SE101,CS101,MATH101,SE201,SE202,SE205",password123
FA22-BBA-0035,Aryan Choudhary,Business Administration,3.14,"MGT101,ECO101,MKT101,FIN101,ECO201,MKT201,RE301",password123
FA22-BSPych-0036,Anika Trivedi,Psychology,3.61,"PSY101,PSY102,STAT101,PSY201,PSY202,PSY301,PSY303",password123
FA21-BSCS-0037,Imran Mirza,Computer Science,3.84,"CS101,CS102,MATH101,CS201,DS110",password123
FA21-BSSE-0038,Mehwish Qureshi,Software Engineering,3.92,"SE101,CS101,MATH101,SE201,SE202",password123
FA22-BBA-0039,Hamza Mirza,Business Administration,3.27,"MGT101,ECO101,MKT101,FIN201,DM201",password123
FA22-BSPych-0040,Zainab Butt,Psychology,3.53,"PSY101,PSY102,STAT101,PSY201,PSY204,PSY207",password123
FA21-BSCS-0041,Usman Ahmed,Computer Science,3.25,"CS101,CS102,MATH101,CS201,CS202,CS301,CS307",password123
FA21-BSSE-0042,Fatima Rizvi,Software Engineering,3.41,"SE101,CS101,MATH101,SE201,SE202,SE301,SE307",password123
FA22-BBA-0043,Asma Khan,Business Administration,3.18,"MGT101,ECO101,MKT101,FIN101,EC201",password123
FA22-BSPych-0044,Ali Raza,Psychology,3.57,"PSY101,PSY102,STAT101,PSY201,PSY202",password123
FA21-BSCS-0045,Anvi Agarwal,Computer Science,3.63,"CS101,CS102,MATH101,CS201,CS202,CS204",password123
FA21-BSSE-0046,Vihaan Khanna,Software Engineering,3.79,"SE101,CS101,MATH101,SE201,SE202,SE204",password123
FA22-BBA-0047,Myra Srinivasan,Business Administration,3.22,"MGT101,ECO101,MKT101,FIN101,ECO201,MKT201,ENT301",password123
FA22-BSPych-0048,Krish Iyer,Psychology,3.44,"PSY101,PSY102,STAT101,PSY201,PSY202,PSY301,PSY304",password123
FA21-BSCS-0049,Rehan Bhatia,Computer Science,3.51,"CS101,CS102,MATH101,CS201,DS110",password123
FA21-BSSE-0050,Diya Kapoor,Software Engineering,3.68,"SE101,CS101,MATH101,SE201,SE202",password123
FA22-BBA-0051,Reyansh Menon,Business Administration,3.35,"MGT101,ECO101,MKT101,FIN201,SPM201",password123
FA22-BSPych-0052,Anvi Nair,Psychology,3.72,"PSY101,PSY102,STAT101,PSY201,PSY205,PSY208",password123
FA21-BSCS-0053,Vivaan Oberoi,Computer Science,3.29,"CS101,CS102,MATH101,CS201,CS202,CS301,CS308",password123
FA21-BSSE-0054,Siya Mehra,Software Engineering,3.47,"SE101,CS101,MATH101,SE201,SE202,SE301,SE308",password123
FA22-BBA-0055,Arjun Banerjee,Business Administration,3.14,"MGT101,ECO101,MKT101,FIN101,LE201",password123
FA22-BSPych-0056,Amaira Saxena,Psychology,3.61,"PSY101,PSY102,STAT101,PSY201,PSY202,PSY301,PSY305",password123
FA21-BSCS-0057,Dhruv Chatterjee,Computer Science,3.84,"CS101,CS102,MATH101,CS201,CS202,CS205",password123
FA21-BSSE-0058,Kiara Sharma,Software Engineering,3.92,"SE101,CS101,MATH101,SE201,SE202,SE205",password123
FA22-BBA-0059,Arnav Reddy,Business Administration,3.27,"MGT101,ECO101,MKT101,FIN101,ECO201,MKT201,INV301",password123
FA22-BSPych-0060,Ananya Singh,Psychology,3.53,"PSY101,PSY102,STAT101,PSY201,PSY202,PSY301,PSY306",password123
FA21-BSCS-0061,Rohan Verma,Computer Science,3.25,"CS101,CS102,MATH101,CS201,DS110",password123
FA21-BSSE-0062,Ananya Deshpande,Software Engineering,3.41,"SE101,CS101,MATH101,SE201,SE202",password123
FA22-BBA-0063,Vihaan Khanna,Business Administration,3.18,"MGT101,ECO101,MKT101,FIN201,MKT202",password123
FA22-BSPych-0064,Diya Srinivasan,Psychology,3.57,"PSY101,PSY102,STAT101,PSY201,PSY204,PSY209",password123
FA21-BSCS-0065,Arjun Reddy,Computer Science,3.63,"CS101,CS102,MATH101,CS201,CS202,CS301,CS309",password123
FA21-BSSE-0066,Myra Chatterjee,Software Engineering,3.79,"SE101,CS101,MATH101,SE201,SE202,SE301,SE309",password123
FA22-BBA-0067,Kabir Malhotra,Business Administration,3.22,"MGT101,ECO101,MKT101,FIN101,BA205",password123
FA22-BSPych-0068,Anvi Iyer,Psychology,3.44,"PSY101,PSY102,STAT101,PSY201,PSY202",password123
FA21-BSCS-0069,Reyansh Agarwal,Computer Science,3.51,"CS101,CS102,MATH101,CS201,CS202,CS206",password123
FA21-BSSE-0070,Aditi Joshi,Software Engineering,3.68,"SE101,CS101,MATH101,SE201,SE202,SE206",password123
FA22-BBA-0071,Ishaan Trivedi,Business Administration,3.35,"MGT101,ECO101,MKT101,FIN101,ECO201,MKT201,FIN301",password123
FA22-BSPych-0072,Kiara Banerjee,Psychology,3.72,"PSY101,PSY102,STAT101,PSY201,PSY202,PSY301,PSY307",password123
FA21-BSCS-0073,Aarav Saxena,Computer Science,3.29,"CS101,CS102,MATH101,CS201,DS110",password123
FA21-BSSE-0074,Pari Nair,Software Engineering,3.47,"SE101,CS101,MATH101,SE201,SE202",password123
FA22-BBA-0075,Vedant Mehra,Business Administration,3.14,"MGT101,ECO101,MKT101,FIN201,DM202",password123
FA22-BSPych-0076,Misha Oberoi,Psychology,3.61,"PSY101,PSY102,STAT101,PSY201,PSY205,PSY210",password123
FA21-BSCS-0077,Advait Kapoor,Computer Science,3.84,"CS101,CS102,MATH101,CS201,CS202,CS301,CS310",password123
FA21-BSSE-0078,Siya Bhatia,Software Engineering,3.92,"SE101,CS101,MATH101,SE201,SE202,SE301,SE310",password123
FA22-BBA-0079,Arnav Gupta,Business Administration,3.27,"MGT101,ECO101,MKT101,FIN101,HRM202",password123
FA22-BSPych-0080,Zara Choudhary,Psychology,3.53,"PSY101,PSY102,STAT101,PSY201,PSY202",password123
FA21-BSCS-0081,Vivaan Nair,Computer Science,3.25,"CS101,CS102,MATH101,CS201,CS202,CS207",password123
FA21-BSSE-0082,Amaira Oberoi,Software Engineering,3.41,"SE101,CS101,MATH101,SE201,SE202,SE207",password123
FA22-BBA-0083,Dhruv Mehra,Business Administration,3.18,"MGT101,ECO101,MKT101,FIN101,ECO201,MKT201,FIN302",password123
FA22-BSPych-0084,Kiara Banerjee,Psychology,3.57,"PSY101,PSY102,STAT101,PSY201,PSY202,PSY301,PSY308",password123
FA21-BSCS-0085,Arjun Joshi,Computer Science,3.63,"CS101,CS102,MATH101,CS201,DS110",password123
FA21-BSSE-0086,Saanvi Mishra,Software Engineering,3.79,"SE101,CS101,MATH101,SE201,SE202",password123
FA22-BBA-0087,Aditi Desai,Business Administration,3.22,"MGT101,ECO101,MKT101,FIN201,EC202",password123
FA22-BSPych-0088,Kabir Choudhary,Psychology,3.44,"PSY101,PSY102,STAT101,PSY201,PSY204,PSY211",password123
FA21-BSCS-0089,Yashvardhan Saxena,Computer Science,3.51,"CS101,CS102,MATH101,CS201,CS202,CS301,CS311",password123
FA21-BSSE-0090,Anvi Agarwal,Software Engineering,3.68,"SE101,CS101,MATH101,SE201,SE202,SE301,SE311",password123
FA22-BBA-0091,Krish Khanna,Business Administration,3.35,"MGT101,ECO101,MKT101,FIN101,LE202",password123
FA22-BSPych-0092,Meera Srinivasan,Psychology,3.72,"PSY101,PSY102,STAT101,PSY201,PSY202,PSY301,PSY309",password123
FA21-BSCS-0093,Rudra Iyer,Computer Science,3.29,"CS101,CS102,MATH101,CS201,CS202,CS208",password123
FA21-BSSE-0094,Tanvi Bhatia,Software Engineering,3.47,"SE101,CS101,MATH101,SE201,SE202,SE208",password123
FA22-BBA-0095,Ayaan Kapoor,Business Administration,3.14,"MGT101,ECO101,MKT101,FIN101,ECO201,MKT201,ENT302",password123
FA22-BSPych-0096,Siya Menon,Psychology,3.61,"PSY101,PSY102,STAT101,PSY201,PSY202,PSY301,PSY310",password123
FA21-BSCS-0097,Vedant Malhotra,Computer Science,3.84,"CS101,CS102,MATH101,CS201,DS110",password123
FA21-BSSE-0098,Misha Patel,Software Engineering,3.92,"SE101,CS101,MATH101,SE201,SE202",password123
FA22-BBA-0099,Rohan Kumar,Business Administration,3.27,"MGT101,ECO101,MKT101,FIN201,SPM202",password123
FA22-BSPych-0100,Aarohi Joshi,Psychology,3.53,"PSY101,PSY102,STAT101,PSY201,PSY205,PSY212",password123
